Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,20/10/2010, G/TBT/N/CHN/748,"National Standard of the P.R.C., Cigars-Part 3:  Technical Requirements for Packing, Making, Storage and Transporti9 pages, in Chines).","Articles 4.9, 5.1.7, 5.2.4, 5.3 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the cigars burning performance requirement and some general technical requirements.","Cigars, ICS:  65.160 ;
","65.160 - Tobacco, tobacco products and related equipment",Prevention of deceptive practices and consumer protection (TBT),,,19/12/2010,Regular notification,,,,,,,
China,20/10/2010, G/TBT/N/CHN/751,"National Standard of the P.R.C., Front Underrun Protective Requirements for Commercial Vehiclei9 pages, in Chinesej","This standard specifies the technical requirements and test methods for front underrun protection of commercial vehicles. ;
This standard applies to N2, N3 type of vehicles. It does not apply to the vehicles designed and manufactured for special purpose, for which installation of front underrun protective devices is not practicable due to their structure. ;
","vehicle of N2, N3 type ICS: 43.040.60 ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,19/12/2010,Regular notification,,,,,,,
China,20/10/2010, G/TBT/N/CHN/746,"National Standard of the P.R.C., Laboratory Animals-Microbiological Standards and Monitoring (9 pages, in Chinese).","Chapters 1, 6 and 7 of this standard are recommended, the rest ones are mandatory. The mandatory contents are the microbiology classification and scope of monitoring, testing procedures and test methods of mice, rats, guinea pigs, hamsters, rabbits, dogs and monkeys.",Laboratory animals,,Quality requirements (TBT),Animal welfare,,19/12/2010,Regular notification,,,,,,,
China,20/10/2010, G/TBT/N/CHN/750,"National Standard of the P.R.C., Automatic Sprinkler Systems Part 14: Preaction Device i28 pages, in Chinesej","Chapters 4, 5 and 7 of this standard are mandatory, the rest ones are recommended. Mandatory contents are the model, requirements and inspection rules for automatic sprinkler system.","Automatic sprinkler system - preaction device - ICS:  13.220.10                 ;
",13.220.10 - Fire-fighting,Protection of human health or safety (TBT),,,19/12/2010,Regular notification,,,,,,,
China,20/10/2010, G/TBT/N/CHN/752,"National Standard of the P.R.C., The Stipulation Protecting Drivers from being Injured by Motor Vehicle Steering Mechanism (17 pages, in Chinese)","This standard specifies the technical requirements and test methods for preventing or mitigating injury to drivers by motor vehicle steering mechanism during frontal collision. ;
   This standard applies to M1 category vehicles and N1 category vehicles with maximum gross mass less than 1500kg. ;
","Motor vehicles of category M1 and vehicles of category N1 with maximum gross mass less than 1,500kg ;
ICSF43.040.60 ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT); Harmonization (TBT),,,19/12/2010,Regular notification,,,,,,,
China,24/08/2010, G/TBT/N/CHN/745,"Good Manufacturing Practice for Pharmaceutical Products (Revised in 2010) (40 pages, in Chinese)",To regulate and supervise the whole process of production and quality management of pharmaceutical products,Pharmaceutical products,,Protection of human health or safety (TBT),,,30/09/2010,Regular notification,,,,,,,
China,04/08/2010, G/TBT/N/CHN/742,"National Standard of the P.R.C., Minimum Allowable Values of Energy Efficiency and Energy Efficiency Grades for Printers and Fax Machines (16 pages, in Chinese)","Article 4.2 of this standard is mandatory and the rest ones are recommended. The mandatory contents are the minimum allowable values of energy efficiency for printers, fax machines, and MFD with primary function of printing or facsimile.  This standard applies to the products in normal work under voltage 220V and frequency 50 Hz, with standard format and printing speed lower than 70 ipm. It dose not cover the products whose elcectrical power only comes from batteries or interfaces (such as USB, IEEE1394 etc.), or with digital front end (DFE). ;
","Printers, fax machines and multi-function device (MFD) with primary function of printing or facsimile (ICS: 27.010, HS: 8443, 8517) ;
",27.010 - Energy and heat transfer engineering in general,Protection of the environment (TBT),,,03/10/2010,Regular notification,"8517 - Electrical apparatus for line telephony or line telegraphy, incl. line telephone sets with cordless handsets and telecommunication apparatus for carrier-current line systems or for digital line systems; videophones; parts thereof; 8443 - Printing machinery used for printing by means of the printing type, blocks, plates, cylinders and other printing components of heading 8442 and ink-jet printing machines (excl. hectograph or stencil duplicating machines, addressing machines and other office printing machines of heading 8469 to 8472); machines for uses ancillary to printing, for the feeding, carriage or further processing of sheets or webs of paper; parts thereof",,,,,,
China,04/08/2010, G/TBT/N/CHN/743,"National Standard of the P.R.C., Minimum Allowable Values of Energy Efficiency and Energy Efficiency Grades for Digital Television Adapters (Set-Top Boxes) (12 pages, in Chinese)","Article 4.2 of this standard is mandatory and the rest ones are recommended. The mandatory contents are the minimum allowable values of energy efficiency for general-purpose digital television adapters (also known as set-top boxes, hereinafter referred to as apdaters). This standard applies to the adapters in normal work under voltage 220V and frequency 50 Hz, including cable adapters, terrestrial adapters and satellite adapters. ;
","Cable digital television adapters, terrestrial digital television adapters and satellite digital television adapters (ICS:  27.010, HS: 8528) ;
",27.010 - Energy and heat transfer engineering in general,Protection of the environment (TBT),,,03/10/2010,Regular notification,"8528 - Television receivers, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; video monitors and video projectors",,,,,,
China,04/08/2010, G/TBT/N/CHN/744,"National Standard of the P.R.C., Minimum Allowable Values of Energy Efficiency and Values of Efficiency Grade for Small-Power Motors (8 pages, in Chinese)","Articles 4.3 and 4.4 of this standard are mandatory and the rest ones are recommended. The mandatory contents are the minimum allowable energy efficiency and target energy efficiency minimum allowable value of small-power motors. This standard applies to general purpose A.C. small-power motors with voltage up to 690V and frequency 50Hz, including three-phase asynchrounous motor (10W`2200W), permanent- split capacitor asynchrounous motor (120W`3700W), two-value capacitior asynchrounous motor (250W`3000W) and motor for room air conditioner fan (6W`550W). ;
","Small-power motor (ICS: 29.160.20, HSF8501) ;
",29.160 - Rotating machinery,Protection of the environment (TBT); Cost saving and productivity enhancement (TBT),,,03/10/2010,Regular notification,8501 - Electric motors and generators (excl. generating sets),,,,,,
China,01/07/2010, G/TBT/N/CHN/735/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,27/05/2010, G/TBT/N/CHN/730/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,25/05/2010, G/TBT/N/CHN/733/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,10/05/2010, G/TBT/N/CHN/729/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,07/05/2010, G/TBT/N/CHN/740,"National Standard of the P.R.C., Explosive Atmospheres - Explosion Prevention and Protection Part 1: Basic Concepts and Methodology (32 pages, in Chinese)","This standard specifies the methods for identifying and assessing dangerous situations that could cause explosion, as well as design and structural measures conforming to the security requirements.","Explosion proof electrical equipment ICS: 29.260.20 ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,06/07/2010,Regular notification,,,,,,,
China,07/05/2010, G/TBT/N/CHN/741,"National Standard of the P.R.C., Explosive Atmospheres-Explosion Prevention and Protection Part 2: Basic Concepts and Methodology for Mining (26 pages, in Chinese)","This standard provides the general guidelines for explosion prevention and protection in mining by specifying the basic concepts and methodology for the design and construction of mine equipments, protective systems and components.  This standard applies to Group I equipments, protective systems and components intended for use in underground parts of mines and in those parts which their surface installations are at risk of firedamp and/or flammable dust. ;
","Explosion proof electrical product (ICS: 29.260.20) ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,06/07/2010,Regular notification,,,,,,,
China,07/05/2010, G/TBT/N/CHN/739,"National Standard of the P.R.C., High-Voltage Alternating-Current Automatic Circuit Reclosers for Rated Voltages from 12 kV up to and Including 40.5 kV (57 pages, in Chinese)","This standard specifies the general requirements of service conditions, ratings, design and construction, type test, ex-factory test, package, transportation and storage etc. for all pad-mounted, dry vault unipolar or multipolar alternating current automatic circuit reclosers with rated voltages of 12 kV`40.5 kV, frequency 50 Hz .","All the pad-mounted, dry vault type unipolar or multipolar high voltage AC automatic circuit reclosers with rated voltage of 12 kV- 40.5 kV, frequency 50 Hz (ICS: 29.130.10, HSF8535.1000)",,Protection of human health or safety (TBT),,,06/07/2010,Regular notification,853510 - Fuses for a voltage > 1.000 V,,,,,,
China,07/05/2010, G/TBT/N/CHN/736,"National Standard of the P.R.C., Concentration Requirement of Volatile Organic Compounds in Passenger Car (5 pages, in Chinese)","This standard specifies the requirements of in-vehicle concentration of volatile organic compounds, such as benzene, toluene, xylene, ethylbenzene, styrene, formaldehyde, acetaldehyde and acrolein. It applies to the evaluation of air quality condition in vehicles of category M1.","Passenger motor vehicles up to 9 seats ( including drivers seat) (ICS:13.040.99, HS: 8702)",13.040.99 - Other standards related to air quality,Protection of human health or safety (TBT); Protection of the environment (TBT),,,06/07/2010,Regular notification,"8702 - Motor vehicles for the transport of >= 10 persons, incl. driver",,,,,,
